,0,1,2,3
PCSK1,0.225,0.073,0.965,0.112
GSTA4,0.014,0.017,0.013,1.0
TBL1XR1,0.059,0.108,0.097,0.988
KCNJ2,0.049,0.051,0.038,0.997
HERC6,0.956,0.138,0.252,0.058
SOX15,0.413,0.006,0.897,0.154
CECR1,0.027,0.091,0.995,0.011
IFIT3,0.161,0.954,0.238,0.083
ACSL5,0.035,0.056,0.998,0.008
TNFRSF11B,0.07,0.143,0.11,0.981
PPBP,0.994,0.023,0.1,0.035
PRKX,0.05,0.06,0.065,0.995
DPT,0.974,0.129,0.169,0.078
EPHB3,0.057,0.025,0.043,0.997
PGBD5,0.089,0.121,0.106,0.983
CDH11,0.985,0.093,0.119,0.08
ICAM1,0.071,0.99,0.107,0.049
PVALB,0.007,0.002,0.004,1.0
HIST1H2BC,0.971,0.065,0.16,0.165
ADM,0.041,0.004,0.011,0.999
EVI1,0.014,0.016,1.0,0.004
EVI2B,0.102,0.98,0.138,0.106
CD52,0.072,0.988,0.101,0.09
CALCA,0.078,0.081,0.988,0.106
IL1RAP,0.959,0.117,0.172,0.193
PROS1,0.981,0.051,0.128,0.138
EVI2A,0.123,0.976,0.122,0.135
KCNMB4,0.084,0.128,0.988,0.033
KHDRBS3,0.121,0.968,0.212,0.059
CRLF1,0.115,0.108,0.98,0.119
G0S2,0.128,0.968,0.186,0.11
ARHGAP29,0.959,0.123,0.158,0.199
ROBO1,0.063,0.11,0.992,0.006
NRIP3,0.099,0.123,0.122,0.98
TCEAL2,0.09,0.099,0.985,0.107
SDC2,0.971,0.103,0.129,0.174
EPB41L3,0.119,0.969,0.17,0.132
EDN1,0.115,0.071,0.089,0.987
TMPRSS3,0.028,0.994,0.102,0.018
INPP4B,0.105,0.019,0.994,0.015
WASF1,0.068,0.02,0.033,0.997
TFPI,0.124,0.067,0.982,0.129
PTPRC,0.08,0.987,0.1,0.092
CLEC7A,0.092,0.984,0.103,0.114
NBEA,0.136,0.095,0.183,0.969
CFI,0.984,0.076,0.109,0.117
IGFBP1,0.092,0.071,0.979,0.168
DFNA5,0.987,0.034,0.119,0.101
IGSF6,0.08,0.978,0.126,0.143
TIMP3,0.974,0.079,0.208,0.051
RORA,0.112,0.085,0.108,0.984
CD70,0.017,0.998,0.063,0.019
HERC5,0.113,0.978,0.166,0.057
PEG10,0.025,0.022,0.038,0.999
FOSL1,0.993,0.022,0.06,0.098
FABP5,0.991,0.022,0.127,0.029
PAPSS2,0.099,0.977,0.17,0.088
SLC2A3,0.954,0.146,0.169,0.198
MYLK,0.967,0.121,0.14,0.175
FOLH1,0.055,0.024,0.039,0.997
EPS8,0.014,0.02,0.04,0.999
F13A1,0.949,0.09,0.154,0.258
SEMA5A,0.076,0.054,0.996,0.014
TAGLN,0.993,0.049,0.095,0.048
MEIS2,0.97,0.043,0.191,0.142
CCL4,0.052,0.993,0.082,0.063
EFHD1,0.12,0.96,0.236,0.094
TSPAN12,0.069,0.048,0.978,0.19
STC1,0.166,0.971,0.157,0.069
PRR4,0.033,0.034,0.028,0.998
ITGB6,0.98,0.047,0.194,0.027
RARRES3,0.033,0.989,0.071,0.123
DCLK1,0.05,0.022,0.041,0.998
ABCC3,0.02,0.008,0.022,1.0
HGD,0.121,0.108,0.971,0.177
MYCL1,0.032,0.017,0.999,0.008
GLDC,0.131,0.114,0.971,0.167
GEM,0.972,0.129,0.108,0.167
INHBB,0.95,0.09,0.247,0.17
SRPX2,0.089,0.019,0.986,0.14
TFEC,0.074,0.987,0.107,0.096
RASIP1,0.133,0.028,0.99,0.031
CD200,0.068,0.99,0.093,0.079
IL32,0.111,0.988,0.106,0.027
KCNK1,0.041,0.022,0.037,0.998
GPX3,0.987,0.037,0.106,0.112
CLU,0.97,0.134,0.091,0.181
TRIB3,0.066,0.064,0.076,0.993
PRF1,0.027,0.996,0.052,0.064
SERPINF1,0.099,0.984,0.091,0.118
RGS1,0.099,0.986,0.084,0.1
ITGBL1,0.961,0.154,0.211,0.087
EYA1,0.049,0.062,0.076,0.994
SEMA3A,0.157,0.298,0.935,0.108
LRP4,0.077,0.045,0.081,0.993
CRMP1,0.101,0.038,0.08,0.991
BAG4,0.014,0.034,0.026,0.999
RARRES2,0.961,0.165,0.131,0.179
CD3D,0.038,0.996,0.064,0.056
TNFSF10,0.076,0.987,0.135,0.049
ATP10B,0.021,0.026,0.999,0.021
IER3,0.982,0.054,0.076,0.164
PAEP,0.245,0.084,0.953,0.158
C1QTNF3,0.969,0.102,0.204,0.098
ATP6V0A4,0.08,0.124,0.956,0.254
SNCAIP,0.042,0.995,0.089,0.013
OLFML3,0.983,0.084,0.128,0.101
DKK2,0.969,0.104,0.174,0.143
C3orf14,0.029,0.047,0.998,0.029
EMP1,0.124,0.061,0.097,0.986
AGT,0.133,0.106,0.215,0.962
ASCL1,0.056,0.281,0.956,0.063
PLS1,0.122,0.932,0.278,0.196
NAV2,0.955,0.184,0.185,0.143
HIST1H2AE,0.964,0.081,0.205,0.152
IL18,0.97,0.1,0.178,0.13
ARL4D,0.061,0.038,0.058,0.996
SCHIP1,0.064,0.035,0.044,0.996
AKAP12,0.983,0.066,0.143,0.09
KLF4,0.089,0.974,0.159,0.134
TUSC3,0.093,0.052,0.994,0.016
SORL1,0.064,0.024,0.997,0.047
PCOLCE,0.982,0.078,0.126,0.115
CRYM,0.039,0.138,0.985,0.091
GSR,0.02,0.043,0.027,0.999
ARSJ,0.094,0.067,0.087,0.989
ORM2,0.121,0.096,0.982,0.107
PSAT1,0.012,0.03,0.017,0.999
EGFL6,0.135,0.048,0.104,0.984
ATAD4,0.099,0.084,0.986,0.107
CSF2RB,0.083,0.986,0.129,0.063
HEPH,0.982,0.073,0.147,0.09
ADH1B,0.958,0.132,0.22,0.125
EFNB2,0.982,0.059,0.144,0.105
DACT1,0.985,0.074,0.139,0.073
NNMT,0.977,0.128,0.109,0.135
CYP1B1,0.149,0.969,0.135,0.143
SLC16A1,0.096,0.065,0.085,0.99
HIST1H2BG,0.102,0.067,0.988,0.09
RAGE,0.076,0.97,0.164,0.163
PDGFRL,0.97,0.138,0.16,0.12
HOPX,0.13,0.078,0.099,0.983
HLF,0.075,0.957,0.157,0.234
PDZRN3,0.964,0.142,0.176,0.138
ADA,0.081,0.08,0.069,0.991
ODC1,0.036,0.049,0.027,0.998
DPYD,0.945,0.171,0.252,0.117
PHGDH,0.027,0.153,0.092,0.984
KLK6,0.99,0.037,0.07,0.12
RIT1,0.023,0.027,0.018,0.999
IGSF3,0.083,0.036,0.063,0.994
MGP,0.979,0.121,0.131,0.096
HIST1H2AC,0.966,0.059,0.205,0.144
GLIPR1,0.975,0.104,0.132,0.144
GPR116,0.966,0.142,0.184,0.115
PPM1H,0.035,0.112,0.993,0.032
NUAK1,0.971,0.129,0.173,0.102
IL17RB,0.02,0.997,0.073,0.026
CRABP1,0.047,0.308,0.95,0.033
SLC22A3,0.979,0.131,0.156,0.025
SPAG4,0.075,0.06,0.995,0.031
CTGF,0.982,0.085,0.133,0.107
GSPT2,0.059,0.044,0.997,0.028
SPINK2,0.021,0.012,0.035,0.999
PDGFA,0.961,0.094,0.236,0.109
SLC9A3R1,0.009,0.03,0.012,0.999
CSRP2,0.116,0.095,0.119,0.982
EPHA2,0.038,0.022,0.999,0.028
MT1G,0.134,0.971,0.162,0.112
ARMCX1,0.971,0.132,0.159,0.117
LIMCH1,0.132,0.039,0.128,0.982
DNAJC12,0.135,0.124,0.167,0.969
CD2,0.037,0.996,0.07,0.044
ALOX5AP,0.11,0.981,0.118,0.107
CALB2,0.036,0.008,0.017,0.999
CTNNAL1,0.071,0.074,0.064,0.993
DUOX2,0.03,0.061,0.997,0.035
FOSB,0.988,0.063,0.129,0.058
DYNC1I1,0.098,0.091,0.973,0.188
NKG7,0.018,0.997,0.055,0.045
SULF1,0.958,0.1,0.089,0.254
PALMD,0.974,0.11,0.18,0.083
GZMK,0.052,0.992,0.091,0.075
TUFT1,0.084,0.049,0.073,0.993
FBP1,0.047,0.046,0.998,0.021
GPR126,0.067,0.117,0.989,0.064
MAGEC1,0.989,0.079,0.124,0.022
AEBP1,0.984,0.096,0.127,0.083
EDN2,0.086,0.098,0.974,0.187
CRTAC1,0.082,0.052,0.995,0.02
NRCAM,0.031,0.017,0.021,0.999
EIF2S3,0.096,0.09,0.14,0.981
FAM129A,0.095,0.98,0.123,0.121
GZMH,0.014,0.997,0.052,0.048
EGR3,0.978,0.083,0.128,0.144
GATA6,0.965,0.139,0.2,0.102
HSPA1A,0.108,0.97,0.217,0.024
CHP2,0.058,0.237,0.964,0.108
LRMP,0.019,0.053,0.998,0.011
ECM1,0.978,0.063,0.134,0.15
PRSS3,0.16,0.058,0.979,0.111
PIGR,0.94,0.144,0.215,0.222
OASL,0.13,0.953,0.267,0.055
C3,0.967,0.119,0.176,0.141
EPHA4,0.141,0.013,0.979,0.149
ACTG2,0.958,0.106,0.245,0.107
CYR61,0.985,0.09,0.107,0.101
ALCAM,0.067,0.03,0.064,0.995
ACE2,0.038,0.109,0.086,0.99
DUOX1,0.14,0.032,0.989,0.02
TESC,0.025,0.277,0.961,0.009
IGLV2-14,0.112,0.984,0.09,0.106
BCL11B,0.134,0.956,0.171,0.195
PRSS23,0.991,0.052,0.101,0.068
PPM2C,0.942,0.114,0.216,0.231
DPYSL3,0.954,0.086,0.167,0.233
SERPINE1,0.997,0.018,0.061,0.04
ANXA1,0.961,0.085,0.14,0.225
ENO2,0.089,0.14,0.978,0.127
ARD1B,0.083,0.076,0.121,0.986
NKX2-1,0.952,0.135,0.216,0.171
TRIB2,0.075,0.1,0.135,0.983
PVRL3,0.078,0.08,0.99,0.085
UGDH,0.053,0.055,0.059,0.995
AUTS2,0.064,0.082,0.993,0.055
IRS2,0.137,0.039,0.071,0.987
MAP2,0.063,0.048,0.058,0.995
IGFBP5,0.066,0.035,0.055,0.996
NID1,0.981,0.056,0.14,0.118
WNT4,0.084,0.119,0.989,0.03
OSR2,0.066,0.97,0.13,0.195
SLC44A4,0.049,0.029,0.998,0.028
KLF5,0.057,0.01,0.092,0.994
IL10RA,0.08,0.986,0.111,0.09
P2RY2,0.09,0.061,0.986,0.126
PSCDBP,0.102,0.985,0.104,0.087
MDK,0.036,0.029,0.999,0.017
CX3CL1,0.054,0.051,0.057,0.996
BACE2,0.084,0.099,0.991,0.042
PRRX1,0.956,0.18,0.182,0.14
RAB11FIP1,0.047,0.109,0.981,0.155
FMO4,0.072,0.063,0.993,0.068
DCN,0.98,0.117,0.114,0.113
GJA1,0.986,0.053,0.109,0.112
FBN1,0.979,0.112,0.136,0.103
NFE2L3,0.048,0.988,0.133,0.056
SAMSN1,0.089,0.98,0.112,0.138
C6orf105,0.022,0.992,0.126,0.013
HLA-DMA,0.076,0.99,0.098,0.069
SERPIND1,0.114,0.083,0.984,0.105
BLMH,0.019,0.028,0.029,0.999
MFAP2,0.987,0.039,0.149,0.049
PID1,0.12,0.95,0.24,0.158
SLAMF7,0.088,0.988,0.081,0.102
RAI14,0.165,0.947,0.245,0.127
SELL,0.126,0.969,0.195,0.081
PBEF1,0.021,0.042,0.022,0.999
FAS,0.044,0.996,0.072,0.03
ZNF239,0.103,0.132,0.983,0.08
ChGn,0.977,0.083,0.136,0.143
FLJ22662,0.016,0.033,0.999,0.004
SRGN,0.083,0.989,0.087,0.09
MYBPC1,0.02,0.483,0.875,0.021
BMP4,0.954,0.094,0.224,0.174
TAC1,0.088,0.018,0.058,0.994
DDAH1,0.136,0.112,0.235,0.956
PCSK5,0.969,0.065,0.114,0.211
PFN2,0.022,0.004,0.012,1.0
C1QA,0.085,0.992,0.077,0.047
CLEC4A,0.106,0.979,0.143,0.099
HIG2,0.023,0.029,0.054,0.998
CD177,0.045,0.117,0.989,0.076
DBC1,0.037,0.013,0.998,0.051
WWTR1,0.04,0.027,0.031,0.998
PLTP,0.085,0.148,0.984,0.058
ODZ4,0.101,0.136,0.132,0.977
HSD17B6,0.971,0.128,0.146,0.138
RNASE6,0.104,0.979,0.122,0.128
COMP,0.944,0.196,0.239,0.113
CTA-246H3.1,0.107,0.984,0.087,0.112
NLGN1,0.023,0.027,0.027,0.999
HMOX1,0.077,0.085,0.052,0.992
CXCL3,0.938,0.166,0.201,0.229
HOXB2,0.034,0.023,0.999,0.006
EMR1,0.08,0.992,0.093,0.01
ALOX12,0.047,0.099,0.993,0.032
GLT8D2,0.986,0.062,0.129,0.083
LRP8,0.025,0.082,0.031,0.996
BDNF,0.043,0.021,0.034,0.998
FCN3,0.115,0.153,0.148,0.97
B3GALNT1,0.059,0.173,0.964,0.191
HLA-DRA,0.073,0.991,0.089,0.066
HCK,0.062,0.109,0.072,0.989
OAS2,0.125,0.117,0.984,0.043
OAS3,0.134,0.953,0.265,0.054
CBS,0.013,0.995,0.054,0.084
THSD7A,0.093,0.045,0.095,0.99
HIST1H2BD,0.968,0.047,0.189,0.16
SEMA3C,0.991,0.008,0.126,0.034
CST7,0.063,0.99,0.107,0.07
S100B,0.941,0.169,0.2,0.213
MSX1,0.036,0.991,0.12,0.045
DNASE1L3,0.051,0.972,0.105,0.204
MS4A6A,0.087,0.983,0.099,0.129
TBX3,0.046,0.012,0.999,0.006
GATA3,0.012,0.013,1.0,0.001
GBP1,0.089,0.989,0.102,0.065
DUSP4,0.08,0.059,0.995,0.018
FKBP10,0.948,0.166,0.193,0.193
ZNF185,0.094,0.007,0.995,0.026
MOSC1,0.017,0.011,0.025,0.999
ARNT2,0.041,0.989,0.133,0.041
SLC1A3,0.965,0.102,0.156,0.184
NPL,0.026,0.036,0.023,0.999
CXCR4,0.063,0.991,0.091,0.073
CD38,0.069,0.978,0.088,0.178
CXADR,0.043,0.008,0.999,0.027
QPRT,0.94,0.166,0.253,0.158
TMEM176B,0.113,0.981,0.111,0.109
PPARG,0.017,0.008,1.0,0.015
MB,0.108,0.154,0.2,0.962
FCER1G,0.072,0.991,0.084,0.075
FBXO17,0.982,0.073,0.118,0.126
NDRG1,0.113,0.108,0.984,0.087
SOBP,0.946,0.111,0.239,0.186
BHLHB3,0.033,0.02,0.999,0.007
IGF1,0.968,0.134,0.174,0.117
CRIP2,0.066,0.02,0.998,0.016
NINJ2,0.97,0.131,0.185,0.089
KIAA1305,0.069,0.063,0.994,0.062
FAM46A,0.967,0.065,0.244,0.019
KLK12,0.116,0.073,0.145,0.98
OAS1,0.045,0.045,0.998,0.009
PDGFC,0.988,0.052,0.096,0.112
RASL11B,0.126,0.955,0.214,0.165
CYBRD1,0.083,0.049,0.078,0.992
LY6E,0.132,0.037,0.991,0.006
TCF7L1,0.961,0.125,0.216,0.117
ZDHHC11,0.157,0.128,0.193,0.96
RAB40B,0.023,0.039,0.047,0.998
CD3G,0.048,0.991,0.103,0.069
MT1X,0.943,0.125,0.162,0.264
STON1,0.956,0.091,0.136,0.245
DKK4,0.088,0.045,0.839,0.535
UPP1,0.981,0.057,0.155,0.098
SOX11,0.125,0.07,0.989,0.044
PRRG4,0.187,0.064,0.901,0.387
TMEM47,0.121,0.011,0.992,0.039
PGF,0.103,0.059,0.082,0.99
SLC1A4,0.079,0.093,0.078,0.989
SLCO3A1,0.074,0.07,0.068,0.992
COL9A3,0.088,0.103,0.987,0.084
GPC1,0.09,0.027,0.078,0.993
LTBP1,0.966,0.116,0.179,0.144
LMO4,0.032,0.093,0.058,0.993
BDH1,0.111,0.947,0.171,0.248
DNAJC15,0.135,0.096,0.971,0.173
TMEM118,0.041,0.179,0.982,0.031
FGFR3,0.007,0.043,0.999,0.012
ABLIM1,0.143,0.039,0.148,0.978
HSPA4L,0.032,0.142,0.035,0.989
ITGB2,0.081,0.988,0.104,0.083
UGT2B17,0.163,0.106,0.974,0.117
MFAP4,0.969,0.104,0.2,0.098
LAMC2,0.983,0.038,0.088,0.155
SPAG1,0.067,0.965,0.247,0.061
EIF4EBP1,0.026,0.028,0.022,0.999
LRIG1,0.072,0.104,0.088,0.988
NCF2,0.136,0.967,0.141,0.165
NAP1L2,0.058,0.018,0.051,0.997
MGMT,0.024,0.028,0.999,0.006
NID2,0.983,0.083,0.129,0.099
ZNF83,0.075,0.043,0.996,0.009
HSPC159,0.098,0.079,0.109,0.986
BLNK,0.161,0.949,0.255,0.088
ADRB2,0.112,0.065,0.991,0.043
PF4V1,0.084,0.128,0.977,0.146
IFIH1,0.08,0.987,0.139,0.03
ALX1,0.082,0.147,0.958,0.233
AYTL2,0.971,0.094,0.184,0.12
TNFRSF21,0.087,0.01,0.995,0.044
PDE4B,0.056,0.995,0.067,0.042
NOX4,0.988,0.048,0.108,0.102
FHOD3,0.067,0.054,0.996,0.008
ST3GAL1,0.072,0.042,0.972,0.221
SCUBE2,0.15,0.056,0.971,0.178
LPHN2,0.96,0.081,0.236,0.123
BICD2,0.962,0.129,0.157,0.181
PRDM13,0.093,0.177,0.977,0.079
NR4A2,0.962,0.147,0.202,0.114
ANKRD15,0.107,0.049,0.993,0.028
ARG2,0.112,0.069,0.986,0.102
C6orf15,0.15,0.14,0.967,0.148
ELF3,0.009,0.025,0.997,0.071
IGF1R,0.991,0.061,0.111,0.047
ASRGL1,0.049,0.983,0.123,0.13
CXCL12,0.115,0.071,0.076,0.988
OLFML2A,0.967,0.096,0.192,0.139
CTAG2,0.089,0.073,0.986,0.121
TGFBI,0.989,0.079,0.092,0.088
SLC27A2,0.106,0.096,0.976,0.166
CEBPA,0.077,0.968,0.17,0.169
CD53,0.072,0.991,0.085,0.075
SHROOM2,0.063,0.014,0.998,0.02
C1orf61,0.056,0.34,0.923,0.173
TYROBP,0.091,0.987,0.099,0.087
DKFZP586H2123,0.071,0.165,0.074,0.981
TUBB3,0.955,0.137,0.228,0.132
FBXO2,0.049,0.109,0.993,0.022
HTRA1,0.988,0.049,0.104,0.103
IMPA2,0.064,0.042,0.038,0.996
C1S,0.972,0.117,0.075,0.188
SCIN,0.026,0.026,0.034,0.999
CD1A,0.963,0.12,0.18,0.159
KCNN4,0.025,0.026,0.999,0.012
FJX1,0.956,0.099,0.134,0.243
SLCO2A1,0.969,0.129,0.199,0.069
ABCC2,0.008,0.006,0.01,1.0
ATP12A,0.144,0.106,0.979,0.099
LARP6,0.108,0.974,0.182,0.078
IL15,0.05,0.995,0.078,0.028
LOXL1,0.138,0.968,0.184,0.104
GPR143,0.139,0.116,0.983,0.018
SPARCL1,0.106,0.02,0.048,0.993
ID4,0.948,0.116,0.279,0.106
AQP9,0.125,0.969,0.184,0.106
FXYD6,0.169,0.947,0.183,0.203
GLS2,0.011,0.989,0.055,0.138
HLA-DMB,0.061,0.993,0.082,0.067
RIPK4,0.013,0.014,1.0,0.008
CSN3,0.037,0.065,0.986,0.149
CXorf9,0.075,0.985,0.115,0.104
FAT,0.105,0.008,0.994,0.026
TRIM29,0.052,0.026,0.998,0.019
TACSTD1,0.032,0.092,0.051,0.994
IFIT2,0.164,0.946,0.262,0.093
CTSS,0.082,0.984,0.142,0.068
COL1A1,0.995,0.04,0.082,0.036
KCTD14,0.963,0.15,0.218,0.053
DUSP5,0.074,0.044,0.996,0.037
OMD,0.971,0.097,0.185,0.119
DEFA5,0.175,0.037,0.982,0.066
FXYD5,0.988,0.063,0.139,0.024
TUBB2A,0.951,0.186,0.156,0.191
TGM1,0.97,0.072,0.199,0.122
GRB14,0.043,0.038,0.061,0.996
ATP8A2,0.131,0.134,0.981,0.044
KLF7,0.969,0.101,0.217,0.062
HSD17B3,0.037,0.037,0.046,0.998
NXN,0.228,0.287,0.929,0.046
GPR171,0.034,0.995,0.068,0.057
MID1,0.171,0.03,0.963,0.208
LPXN,0.173,0.969,0.168,0.056
DPP4,0.963,0.129,0.197,0.132
LRP12,0.074,0.069,0.059,0.993
PMAIP1,0.1,0.97,0.088,0.205
LYZ,0.076,0.991,0.086,0.065
SAMD9,0.192,0.03,0.981,0.024
HAL,0.027,0.246,0.968,0.045
CLEC5A,0.97,0.159,0.158,0.091
CHI3L2,0.109,0.962,0.124,0.219
CYP2J2,0.014,0.024,1.0,0.005
PDGFD,0.088,0.08,0.991,0.057
TP63,0.058,0.051,0.073,0.994
FBXL7,0.964,0.11,0.227,0.085
ABCA12,0.051,0.172,0.974,0.135
ATP11B,0.053,0.029,0.059,0.996
PRSS8,0.143,0.947,0.186,0.218
WNT5B,0.965,0.08,0.235,0.086
VIL1,0.077,0.061,0.993,0.073
PCDH8,0.081,0.086,0.991,0.057
ASNS,0.006,0.03,0.017,0.999
LPHN3,0.094,0.041,0.11,0.989
C1orf165,0.061,0.062,0.991,0.1
GALNT6,0.951,0.167,0.193,0.173
PLK2,0.976,0.12,0.149,0.105
COL1A2,0.991,0.062,0.102,0.06
LCP2,0.08,0.986,0.117,0.092
B4GALNT1,0.016,0.028,0.011,0.999
PPP1R3C,0.966,0.073,0.242,0.052
MAL,0.061,0.083,0.99,0.095
ADFP,0.045,0.111,0.992,0.034
C9orf3,0.398,0.038,0.906,0.141
SYNGR3,0.027,0.408,0.913,0.015
SLIT2,0.958,0.068,0.121,0.251
IRX5,0.089,0.092,0.981,0.146
KIAA0802,0.117,0.112,0.973,0.164
ACPP,0.089,0.139,0.978,0.128
GNAI1,0.177,0.088,0.973,0.12
GIMAP4,0.073,0.989,0.105,0.069
CCL21,0.129,0.967,0.145,0.163
SNX10,0.142,0.979,0.108,0.099
KLHL9,0.15,0.951,0.192,0.188
HSPB3,0.073,0.105,0.098,0.987
CDO1,0.201,0.077,0.96,0.178
BACH2,0.133,0.092,0.171,0.972
GPNMB,0.973,0.08,0.099,0.194
C7orf10,0.984,0.069,0.129,0.103
DUSP10,0.14,0.964,0.189,0.122
FGL2,0.068,0.988,0.097,0.094
TNFAIP3,0.126,0.982,0.096,0.101
MIA,0.049,0.987,0.15,0.04
OLFML2B,0.967,0.141,0.172,0.124
ANPEP,0.984,0.08,0.141,0.073
C5orf13,0.987,0.06,0.123,0.086
FADS1,0.073,0.111,0.047,0.99
CEP70,0.091,0.964,0.237,0.077
KIAA0644,0.091,0.114,0.986,0.083
UGT1A8,0.032,0.007,0.02,0.999
LCP1,0.08,0.989,0.108,0.06
PTPN13,0.018,0.045,0.999,0.017
MATN3,0.12,0.097,0.982,0.105
FCGR2A,0.161,0.963,0.162,0.147
STC2,0.008,0.005,0.007,1.0
ARSE,0.196,0.083,0.967,0.141
ELOVL4,0.12,0.963,0.22,0.093
GSN,0.101,0.08,0.099,0.987
INPP1,0.027,0.312,0.95,0.006
LIPG,0.962,0.184,0.188,0.067
FILIP1L,0.982,0.085,0.115,0.122
DAB2,0.972,0.129,0.148,0.126
ALDOC,0.007,0.072,0.031,0.997
HIST1H2BH,0.954,0.147,0.208,0.156
RTN1,0.133,0.97,0.155,0.136
SMARCD3,0.081,0.081,0.102,0.988
B4GALT4,0.066,0.079,0.992,0.07
EDNRA,0.99,0.056,0.108,0.074
SNAPC1,0.94,0.148,0.176,0.25
HLA-DPB1,0.073,0.99,0.104,0.063
MICALL1,0.119,0.032,0.988,0.092
CLDN18,0.082,0.983,0.161,0.04
APOBEC3G,0.029,0.995,0.09,0.032
SNF1LK,0.093,0.08,0.992,0.015
HOXA1,0.083,0.006,0.996,0.029
ECM2,0.975,0.122,0.153,0.108
NOV,0.031,0.241,0.97,0.025
NEO1,0.113,0.071,0.159,0.978
ALDH3A2,0.04,0.048,0.035,0.997
NOS2A,0.027,0.181,0.978,0.099
SSBP2,0.06,0.086,0.072,0.992
ANGPT1,0.163,0.134,0.143,0.967
VEGFC,0.989,0.044,0.131,0.056
IGFBP4,0.166,0.005,0.986,0.007
PLAG1,0.059,0.05,0.994,0.078
BLVRB,0.033,0.091,0.031,0.995
HS3ST2,0.954,0.157,0.205,0.154
CALML3,0.066,0.13,0.05,0.988
HHEX,0.029,0.071,0.037,0.996
PTRF,0.98,0.045,0.097,0.167
INHBA,0.991,0.056,0.106,0.052
IL4R,0.113,0.035,0.993,0.012
DSE,0.979,0.12,0.123,0.108
AK3L1,0.044,0.028,0.04,0.998
MANSC1,0.074,0.057,0.143,0.985
SPON1,0.978,0.122,0.155,0.073
SYT17,0.014,0.027,0.999,0.013
TNFRSF12A,0.985,0.048,0.121,0.112
THY1,0.978,0.126,0.142,0.081
ERBB3,0.018,0.02,1.0,0.005
ABCA3,0.086,0.981,0.161,0.06
FUT8,0.077,0.054,0.067,0.993
SGPP1,0.168,0.95,0.22,0.146
RAI2,0.098,0.058,0.993,0.026
LAMB1,0.966,0.077,0.17,0.178
CORO1A,0.071,0.987,0.113,0.093
C9orf95,0.068,0.022,0.064,0.995
COBL,0.96,0.11,0.226,0.127
RAMP1,0.065,0.977,0.117,0.167
TREM2,0.961,0.151,0.191,0.13
ATP6V0E2,0.039,0.138,0.149,0.978
TUBB6,0.972,0.105,0.075,0.195
NEDD9,0.116,0.101,0.148,0.977
RASGRP1,0.072,0.976,0.106,0.177
SDC1,0.151,0.009,0.975,0.16
ANKRD57,0.151,0.032,0.089,0.984
GOLM1,0.079,0.059,0.995,0.016
ITPKB,0.112,0.112,0.174,0.972
UGT8,0.024,0.07,0.029,0.997
CHN1,0.973,0.14,0.146,0.112
DACH1,0.077,0.039,0.089,0.992
MAOB,0.962,0.118,0.187,0.161
C20orf103,0.982,0.058,0.171,0.054
CLEC3B,0.933,0.166,0.223,0.229
ENPP4,0.041,0.099,0.994,0.023
SULT1A1,0.018,0.023,0.036,0.999
ENDOD1,0.982,0.051,0.091,0.16
SPP1,0.078,0.066,0.046,0.994
PC,0.045,0.049,0.048,0.997
MFHAS1,0.102,0.106,0.088,0.985
CD302,0.951,0.164,0.196,0.172
ETV5,0.063,0.048,0.063,0.995
MYL9,0.991,0.035,0.126,0.034
KIF1A,0.083,0.124,0.988,0.035
UPK1A,0.012,0.004,1.0,0.003
IL19,0.028,0.179,0.976,0.119
ELF5,0.07,0.117,0.988,0.079
VGLL1,0.04,0.014,0.999,0.016
IL12RB2,0.124,0.094,0.987,0.047
MORC4,0.061,0.091,0.094,0.99
ETFB,0.011,0.009,0.009,1.0
ATP2B1,0.054,0.027,0.049,0.997
ACAA2,0.11,0.975,0.178,0.077
ISG20,0.087,0.983,0.11,0.119
LTB,0.168,0.969,0.17,0.062
CHST11,0.148,0.968,0.181,0.089
TP53I3,0.136,0.057,0.985,0.084
LST1,0.088,0.977,0.126,0.15
PLAGL1,0.947,0.186,0.19,0.182
RPP25,0.06,0.973,0.124,0.187
DEPDC1,0.06,0.977,0.11,0.173
SNCA,0.951,0.139,0.174,0.214
AIM1,0.075,0.049,0.996,0.011
CACNA2D3,0.058,0.055,0.082,0.993
PLLP,0.089,0.07,0.126,0.985
ATP10D,0.965,0.094,0.213,0.123
CLIC2,0.047,0.994,0.088,0.045
CD14,0.122,0.982,0.099,0.108
F12,0.022,0.236,0.045,0.971
CDA,0.991,0.038,0.123,0.035
PCSK1N,0.034,0.077,0.996,0.042
HOXA5,0.062,0.01,0.998,0.006
NEFM,0.036,0.01,0.013,0.999
SCN3A,0.094,0.079,0.978,0.166
IFITM1,0.959,0.189,0.113,0.178
MCOLN3,0.124,0.059,0.128,0.982
FOXC1,0.029,0.04,0.999,0.01
ABCA8,0.946,0.162,0.218,0.176
DNAH17,0.086,0.08,0.99,0.074
SCNN1B,0.029,0.022,0.999,0.037
KDELR3,0.97,0.082,0.119,0.197
JUP,0.246,0.01,0.968,0.055
UBE1L2,0.099,0.964,0.178,0.17
SLC26A4,0.113,0.131,0.968,0.181
KRT75,0.115,0.081,0.989,0.05
RHOBTB3,0.137,0.96,0.215,0.113
ACTA2,0.987,0.075,0.137,0.042
HIST1H2BK,0.17,0.066,0.165,0.969
ECGF1,0.064,0.991,0.097,0.07
MAPK10,0.014,0.052,0.998,0.027
GMFG,0.103,0.979,0.118,0.128
CRISPLD2,0.984,0.109,0.113,0.089
